seed,region,name,mascot,slug,play_in_game
1,South,Virginia,Cavaliers,virginia,
2,South,Cincinnati,Bearcats,cincinnati,
3,South,Tennessee,Volunteers,tennessee,
4,South,Arizona,Wildcats,arizona,
5,South,Kentucky,Wildcats,kentucky,
6,South,Miami,Hurricanes,miami-fl,
7,South,Nevada,Wolfpack,nevada,
8,South,Creighton,Bluejays,creighton,
9,South,Kansas State,Wildcats,kansas-st,
10,South,Texas,Longhorns,texas,
11,South,Loyola (Chicago),Ramblers,loyola-il,
12,South,Davidson,Wildcats,davidson,
13,South,Buffalo,Bulls,buffalo,
14,South,Wright State,Raiders,wright-st,
15,South,Georgia State,Panthers,georgia-st,
16,South,UMBC,Retrievers,umbc,
1,West,Xavier,Musketeers,xavier,
2,West,North Carolina,Tar Heels,north-carolina,
3,West,Michigan,Wolverines,michigan,
4,West,Gonzaga,Bulldogs,gonzaga,
5,West,Ohio State,Buckeyes,ohio-st,
6,West,Houston,Cougars,houston,
7,West,Texas A&M,Aggies,texas-am,
8,West,Missouri,Tigers,missouri,
9,West,Florida State,Seminoles,florida-st,
10,West,Providence,Friars,providence,
11,West,San Diego State,Aztecs,san-diego-st,
12,West,South Dakota State,Jackrabbits,south-dakota-st,
13,West,UNC Greensboro,Spartans,unc-greensboro,
14,West,Montana,Grizzlies,montana,
15,West,Lipscomb,Bisons,lipscomb,
16,West,NC Central/Texas Southern,Eagles/Tigers,nc-central/texas-southern,TRUE
1,East,Villanova,Wildcats,villanova,
2,East,Purdue,Boilermakers,purdue,
3,East,Texas Tech,Red Raiders,texas-tech,
4,East,Wichita State,Shockers,wichita-st,
5,East,West Virginia,Mountaineers,west-virginia,
6,East,Florida,Gators,florida,
7,East,Arkansas,Razorbacks,arkansas,
8,East,Virginia Tech,Hokies,virginia-tech,
9,East,Alabama,Crimson Tide,alabama,
10,East,Butler,Bulldogs,butler,
11,East,St. Bonaventure/UCLA,Bonnies/Bruins,st-bonaventure/ucla,TRUE
12,East,Murray State,Racers,murray-st,
13,East,Marshall,Thundering Herd,marshall,
14,East,Stephen F. Austin,Lumberjacks,stephen-f-austin,
15,East,Cal State Fullerton,Titans,cal-st-fullerton,
16,East,Long Island/Radford,Blackbirds/Highlanders,long-island/radford,TRUE
1,Midwest,Kansas,Jayhawks,kansas,
2,Midwest,Duke,Blue Devils,duke,
3,Midwest,Michigan State,Spartans,michigan-st,
4,Midwest,Auburn,Tigers,auburn,
5,Midwest,Clemson,Tigers,clemson,
6,Midwest,Texas Christian,Horned Frogs,tcu,
7,Midwest,Rhode Island,Rams,rhode-island,
8,Midwest,Seton Hall,Pirates,seton-hall,
9,Midwest,North Carolina State,Wolfpack,north-carolina-st,
10,Midwest,Oklahoma,Sooners,oklahoma,
11,Midwest,Arizona St/Syracuse,Sun Devils/Orangemen,arizona-st/syracuse,TRUE
12,Midwest,New Mexico State,Aggies,new-mexico-st,
13,Midwest,Charleston,Cougars,col-of-charleston,
14,Midwest,Bucknell,Bison,bucknell,
15,Midwest,Iona,Gaels,iona,
16,Midwest,Pennsylvania,Quakers,penn,
