seed,region,name,mascot,slug,play_in_game
1,East,Duke,Blue Devils,DUKE,
2,East,UConn,Huskies,UCONN,
3,East,Michigan State,Spartans,MICHST,
4,East,Kansas,Jayhawks,KANSAS,
5,East,St. John's,Red Storm,STJOHN,
6,East,Louisville,Cardinals,LVILLE,
7,East,UCLA,Bruins,UCLA,
8,East,Ohio State,Buckeyes,OHIOST,
9,East,TCU,Horned Frogs,TCU,
10,East,UCF,Knights,UCF,
11,East,South Florida,Bulls,SFLA,
12,East,Northern Iowa,Panthers,NIOWA,
13,East,California Baptist,Lancers,CALBPTST,
14,East,North Dakota State,Bison,NDAKST,
15,East,Furman,Paladins,FURMAN,
16,East,Siena,Saints,SIENA,
1,South,Florida,Gators,FLA,
2,South,Houston,Cougars,HOU,
3,South,Illinois,Fighting Illini,ILL,
4,South,Nebraska,Cornhuskers,NEB,
5,South,Vanderbilt,Commodores,VANDY,
6,South,North Carolina,Tar Heels,UNC,
7,South,Saint Mary's,Gaels,MARYCA,
8,South,Clemson,Tigers,CLEM,
9,South,Iowa,Hawkeyes,IOWA,
10,South,Texas A&M,Aggies,TEXAM,
11,South,VCU,Rams,VCU,
12,South,McNeese,Cowboys,MCNSE,
13,South,Troy,Trojans,TROY,
14,South,Penn,Quakers,PENN,
15,South,Idaho,Vandals,IDAHO,
16,South,Prairie View A&M/Lehigh,Panthers/Mountain Hawks,PVAM/LEHIGH,TRUE
1,West,Arizona,Wildcats,ARIZ,
2,West,Purdue,Boilermakers,PURDUE,
3,West,Gonzaga,Bulldogs,GONZAG,
4,West,Arkansas,Razorbacks,ARK,
5,West,Wisconsin,Badgers,WISC,
6,West,BYU,Cougars,BYU,
7,West,Miami (FL),Hurricanes,MIAMI,
8,West,Villanova,Wildcats,NOVA,
9,West,Utah State,Aggies,UTAHST,
10,West,Missouri,Tigers,MIZZOU,
11,West,Texas/NC State,Longhorns/Wildcats,TEXAS/NCST,TRUE
12,West,High Point,Panthers,HIGHPT,
13,West,Hawaii,Warriors,HAWAII,
14,West,Kennesaw State,Owls,KENSAW,
15,West,Queens,Royals,QUEENC,
16,West,LIU,Sharks,LIU,
1,Midwest,Michigan,Wolverines,MICH,
2,Midwest,Iowa State,Cyclones,IOWAST,
3,Midwest,Virginia,Cavaliers,UVA,
4,Midwest,Alabama,Crimson Tide,BAMA,
5,Midwest,Texas Tech,Red Raiders,TXTECH,
6,Midwest,Tennessee,Volunteers,TENN,
7,Midwest,Kentucky,Wildcats,UK,
8,Midwest,Georgia,Bulldogs,UGA,
9,Midwest,Saint Louis,Billikens,STLOU,
10,Midwest,Santa Clara,Broncos,SNCLRA,
11,Midwest,Miami (OH)/SMU,RedHawks/Mustangs,MIAOH/SMU,TRUE
12,Midwest,Akron,Zips,AKRON,
13,Midwest,Hofstra,Pride,HOFSTRA,
14,Midwest,Wright State,Raiders,WRIGHT,
15,Midwest,Tennessee State,Tigers,TNST,
16,Midwest,UMBC/Howard,Retrievers/Bison,UMBC/HOW,TRUE
