65	 E Washington	 34	 7.12	 0.54	 222	 26	 0.764705882	 3.06	 80.76	 73.65	 137	 350	 13	 South
67	 UCLA	 33	 3.97	 3.79	 21	 20	 0.606060606	 2.84	 72.00	 68.03	 44	 41	 11	 South
68	 St John's	 32	 3.59	 3.32	 34	 21	 0.65625	 2.82	 71.22	 67.62	 350	 42	 9	 South
75	 UC Irvine	 33	 5.58	 1.19	 156	 21	 0.636363636	 2.47	 67.88	 62.30	 99	 94	 13	 East
81	 Wyoming	 34	 5.71	 0.54	 221	 25	 0.735294118	 2.27	 61.68	 55.97	 102	 102	 12	 East
88	 New Mexico St	 33	 9.15	 0.18	 254	 23	 0.696969697	 1.91	 68.48	 59.33	 97	 88	 15	 Midwest
93	 Belmont	 32	 4.12	 0.78	 206	 22	 0.6875	 1.72	 74.47	 70.34	 151	 149	 15	 East
126	 North Florida	 34	 7.94	 -0.75	 310	 23	 0.676470588	 0.75	 75.71	 67.76	 131	 127	 16	 South
127	 Coastal Car	 33	 10.03	 -0.30	 287	 24	 0.727272727	 0.72	 71.70	 61.67	 350	 350	 16	 West
136	 Northeastern	 34	 3.59	 0.13	 256	 23	 0.676470588	 0.59	 68.59	 65.00	 123	 120	 14	 Midwest
144	 UAB	 34	 1.18	 1.95	 103	 19	 0.558823529	 0.51	 68.85	 67.68	 134	 121	 14	 South
172	 Albany NY	 32	 5.28	 -1.13	 324	 24	 0.75	 0.26	 65.50	 60.22	 350	 350	 14	 East
176	 Valparaiso	 33	 10.55	 -0.18	 279	 28	 0.848484848	 0.24	 69.82	 59.27	 72	 63	 13	 Midwest
182	 Lafayette	 32	 1.81	 -0.35	 289	 20	 0.625	 0.21	 74.19	 72.38	 185	 195	 16	 East
183	 N Dakota St	 32	 2.94	 -0.37	 290	 23	 0.71875	 0.20	 64.53	 61.59	 350	 350	 15	 South
197	 Manhattan	 32	 2.38	 -1.68	 333	 19	 0.59375	 0.12	 69.88	 67.50	 156	 145	 16	 Midwest
202	 Robert Morris	 33	 1.27	 -0.81	 313	 19	 0.575757576	 0.08	 69.00	 67.73	 193	 173	 16	 South
225	 TX Southern	 34	 0.74	 -1.71	 335	 22	 0.647058824	 -0.12	 68.18	 67.44	 350	 350	 15	 West
257	 Hampton	 33	 -0.85	 -1.79	 337	 16	 0.484848485	 -0.70	 67.15	 68.00	 288	 250	 16	 Midwest
