seed,region,name,mascot,slug,play_in_game
15,Midwest,Abilene Christian,Wildcats,ABIL,
11,West,Arizona St/St. John's,Sun Devils/Red Storm,ARIZST/STJOHN,TRUE
5,Midwest,Auburn,Tigers,AUBURN,
9,West,Baylor,Bears,BAYLOR,
15,East,Bradley,Braves,BRAD,
6,West,Buffalo,Bulls,BUFF,
7,South,Cincinnati,Bearcats,CINCY,
15,South,Colgate,Raiders,COLG,
1,East,Duke,Blue Devils,DUKE,
16,West,Fairleigh Dickinson/Prairie View A&M,Knights/Panthers,FDU/PVAM,TRUE
10,West,Florida,Gators,FLA,
4,West,Florida State,Seminoles,FSU,
16,South,Gardner-Webb,Big South,GWEBB,
14,Midwest,Georgia State,Panthers,GAST,
1,West,Gonzaga,Bulldogs,GONZAG,
3,Midwest,Houston,Cougars,HOU,
16,Midwest,Iona,Gaels,IONA,
10,South,Iowa,Hawkeyes,IOWA,
6,Midwest,Iowa State,Cyclones,IOWAST,
4,Midwest,Kansas,Jayhawks,KANSAS,
4,South,Kansas State,Wildcats,KSTATE,
2,Midwest,Kentucky,Wildcats,UK,
12,East,Liberty,Flames,LIB,
3,East,Louisiana State,Tigers,LSU,
7,East,Louisville,Cardinals,LVILLE,
5,West,Marquette,Golden Eagles,MARQET,
6,East,Maryland,Terrapins,MD,
2,West,Michigan,Wolverines,MICH,
2,East,Michigan State,Spartans,MICHST,
10,East,Minnesota,Golden Gophers,MINN,
5,East,Mississippi State,Bulldogs,MISSST,
15,West,Montana,Grizzlies,MNTNA,
12,West,Murray State,Racers,MURYST,
16,East,NC Central/ND State,Eagles/Bison,NCCU/NDAKST,TRUE
7,West,Nevada,Wolfpack,NEVADA,
12,Midwest,New Mexico State,Aggies,NMEXST,
1,Midwest,North Carolina,Tar Heels,UNC,
13,Midwest,Northeastern,Huskies,NEAST,
14,West,Northern Kentucky,Norse,NKY,
11,Midwest,Ohio State,Buckeyes,OHIOST,
9,South,Oklahoma,Sooners,OKLA,
14,South,Old Dominion,Monarchs,ODU,
8,South,Ole Miss,Rebels,MISS,
12,South,Oregon,Ducks,OREG,
3,South,Purdue,Boilermakers,PURDUE,
13,East,Saint Louis,Billikens,STLOU,
11,South,Saint Mary's,Gaels,MARYCA,
10,Midwest,Seton Hall,Pirates,SETON,
8,West,Syracuse,Orange,CUSE,
11,East,Temple/Belmont,Owls/Bruins,TEMPLE/BELMONT,TRUE
2,South,Tennesee,Volunteers,TENN,
3,West,Texas Tech,Red Raiders,TXTECH,
13,South,UC Irvine,Anteaters,UCIRV,
9,East,UCF,Knights,UCF,
8,Midwest,Utah State,Aggies,UTAHST,
8,East,VCU,Rams,VCU,
13,West,Vermont,Catamounts,UVM,
6,South,Villanova,Wildcats,NOVA,
1,South,Virginia,Cavaliers,UVA,
4,East,Virginia Tech,Hokies,VATECH,
9,Midwest,Washington,Huskies,WASH,
5,South,Wisconsin,Badgers,WISC,
7,Midwest,Wofford,Terriers,WOFF,
14,East,Yale,Bulldogs,YALE,
