seed,region,name,mascot,slug,play_in_game
1,South,Alabama,Crimson Tide,BAMA,
2,South,Arizona,Wildcats,ARIZ,
3,South,Baylor,Bears,BAYLOR,
4,South,Virginia,Cavaliers,UVA,
5,South,San Diego State,Aztecs,SDGST,
6,South,Creighton,Bluejays,CREIGH,
7,South,Missouri,Tigers,MIZZOU,
8,South,Maryland,Terrapins,MD,
9,South,West Virginia,Mountaineers,WVU,
10,South,Utah State,Aggies,UTAHST,
11,South,NC State,Wolfpack,NCST,
12,South,Charleston,Cougars,CHARLS,
13,South,Furman,Paladins,FURMAN,
14,South,UC Santa Barbara,Gauchos,UCSB,
15,South,Princeton,Tigers,PRINCE,
16,South,Texas A&M - CC/SE Missouri St.,Islanders/Redhawks,TXAMCC/SEMO,TRUE
1,East,Purdue,Boilermakers,PURDUE,
2,East,Marquette,Golden Eagles,MARQET,
3,East,Kansas State,Wildcats,KSTATE,
4,East,Tennessee,Volunteers,TENN,
5,East,Duke,Blue Devils,DUKE,
6,East,Kentucky,Wildcats,UK,
7,East,Michigan State,Spartans,MICHST,
8,East,Memphis,Tigers,MEMP,
9,East,Florida Atlantic,Owls,FAU,
10,East,USC,Trojans,USC,
11,East,Providence,Friars,PROV,
12,East,Oral Roberts,Golden Eagles,ORAL,
13,East,Louisiana,Ragin Cajuns,UL,
14,East,Montana State,Bobcats,MONST,
15,East,Vermont,Catamounts,UVM,
16,East,Texas Southern/Fairleigh Dickinson,Tigers/Knights,TEXSO/FDU,TRUE
1,Midwest,Houston,Cougars,HOU,
2,Midwest,Texas,Longhorns,TEXAS,
3,Midwest,Xavier,Musketeers,XAVIER,
4,Midwest,Indiana,Hoosiers,IND,
5,Midwest,Miami (FL),Hurricanes,MIAMI,
6,Midwest,Iowa State,Cyclones,IOWAST,
7,Midwest,Texas A&M,Aggies,TEXAM,
8,Midwest,Iowa,Hawkeyes,IOWA,
9,Midwest,Auburn,Tigers,AUBURN,
10,Midwest,Penn State,Nittany Lions,PSU,
11,Midwest,Mississippi State/Pittsburgh,Bulldogs/Panthers,MISSST/PITT,TRUE
12,Midwest,Drake,Bulldogs,DRAKE,
13,Midwest,Kent State,Golden Flashes,KENTST,
14,Midwest,Kennesaw State,Owls,KENSAW,
15,Midwest,Colgate,Raiders,COLG,
16,Midwest,Northern Kentucky,Norse,NKY,
1,West,Kansas,Jayhawks,KANSAS,
2,West,UCLA,Bruins,UCLA,
3,West,Gonzaga,Bulldogs,GONZAG,
4,West,Connecticut,Huskies,UCONN,
5,West,Saint Mary's,Gaels,MARYCA,
6,West,TCU,Horned Frogs,TCU,
7,West,Northwestern,Wildcats,NWEST,
8,West,Arkansas,Razorbacks,ARK,
9,West,Illinois,Fighting Illini,ILL,
10,West,Boise State,Broncos,BOISE,
11,West,Arizona State/Nevada,Sun Devils/Wolf Pack,ARIZST/NEVADA,TRUE
12,West,VCU,Rams,VCU,
13,West,Iona,Gaels,IONA,
14,West,Grand Canyon,Antelopes,GC,
15,West,UNC Asheville,Bulldogs,NCASHV,
16,West,Howard,Bison,HOW,
