seed,region,name,mascot,slug,play_in_game
1,East,Michigan,Wolverines,MICH,
2,East,Alabama,Crimson Tide,BAMA,
3,East,Texas,Longhorns,TEXAS,
4,East,Florida State,Seminoles,FSU,
5,East,Colorado,Buffaloes,COLO,
6,East,BYU,Cougars,BYU,
7,East,UConn,Huskies,UCONN,
8,East,LSU,Tigers,LSU,
9,East,St. Bonaventure,Bonnies,STBON,
10,East,Maryland,Terrapins,MD,
11,East,Michigan State/UCLA,Spartans/Bruins,MICHST/UCLA,TRUE
12,East,Georgetown,Bulldogs,GTOWN,
13,East,UNC Greensboro,Spartans,NCGRN,
14,East,Abilene Christian,Wildcats,ABIL,
15,East,Iona,Gaels,IONA,
16,East,Mount St. Mary's/Texas Southern,Mountaineers/Tigers,MOUNT/TEXSO,TRUE
1,Midwest,Illinois,Fighting Illini,ILL,
2,Midwest,Houston,Cougars,HOU,
3,Midwest,West Virginia,Mountaineers,WVU,
4,Midwest,Oklahoma State,Cowboys,OKLAST,
5,Midwest,Tennessee,Volunteers,TENN,
6,Midwest,San Diego State,Aztecs,SDGST,
7,Midwest,Clemson,Tigers,CLEM,
8,Midwest,Loyola-Chicago,Ramblers,LOYCHI,
9,Midwest,Georgia Tech,Yellow Jackets,GATECH,
10,Midwest,Rutgers,Scarlet Knights,RUT,
11,Midwest,Syracuse,Orangemen,CUSE,
12,Midwest,Oregon State,Beavers,OREGST,
13,Midwest,Liberty,Flames,LIB,
14,Midwest,Morehead State,Eagles,MOREHD,
15,Midwest,Cleveland State,Vikings,CLEVST,
16,Midwest,Drexel,Dragons,DREXEL,
1,South,Baylor,Bears,BAYLOR,
2,South,Ohio State,Buckeyes,OHIOST,
3,South,Arkansas,Razorbacks,ARK,
4,South,Purdue,Boilermakers,PURDUE,
5,South,Villanova,Wildcats,NOVA,
6,South,Texas Tech,Red Raiders,TXTECH,
7,South,Florida,Gators,FLA,
8,South,North Carolina,Tar Heels,UNC,
9,South,Wisconsin,Badgers,WISC,
10,South,Virginia Tech,Hokies,VATECH,
11,South,Utah State,Aggies,UTAHST,
12,South,Winthrop,Eagles,WINTHR,
13,South,North Texas,Mean Green,NTEXAS,
14,South,Colgate,Raiders,COLG,
15,South,Oral Roberts,Golden Eagles,ORAL,
16,South,Hartford,Hawks,HARTFD,
1,West,Gonzaga,Bulldogs,GONZAG,
2,West,Iowa,Hawkeyes,IOWA,
3,West,Kansas,Jayhawks,KANSAS,
4,West,Virginia,Cavaliers,UVA,
5,West,Creighton,Bluejays,CREIGH,
6,West,USC,Trojans,,
7,West,Oregon,Ducks,OREG,
8,West,Oklahoma,Sooners,OKLA,
9,West,Missouri,Tigers,MIZZOU,
10,West,VCU,Rams,VCU,
11,West,Wichita State/Drake,Shockers/Bulldogs,WICHST/DRAKE,TRUE
12,West,UC Santa Barbara,Gauchos,UCSB,
13,West,Ohio,Bobcats,OHIO,
14,West,Eastern Washington,Eagles,EWASH,
15,West,Grand Canyon,Antelopes,GC,
16,West,Norfolk State/Appalachian State,Spartans/Mountaineers,NORFLK/APPST,TRUE
