seed,region,name,mascot,play_in_game
1,East,Villanova,Wildcats,
2,East,Duke,Blue Devils,
3,East,Baylor,Bears,
4,East,Florida,Gators,
5,East,Virginia,Cavaliers,
6,East,SMU,Mustangs,
7,East,South Carolina,Gamecocks,
8,East,Wisconsin,Badgers,
9,East,Virginia Tech,Hokies,
10,East,Marquette,Golden Eagles,
11,East,Providence/USC,Friars/Trojans,TRUE
12,East,UNC Wilmington,Seahawks,
13,East,East Tennessee St.,Buccaneers,
14,East,New Mexico St.,Aggies,
15,East,Troy,Trojans,
16,East,Mt. St. Mary's/New Orleans,Mountaineers/Privateers,TRUE
1,West,Gonzaga,Bulldogs,
2,West,Arizona,Wildcats,
3,West,Florida St.,Seminoles,
4,West,West Virginia,Mountaineers,
5,West,Notre Dame,Fighting Irish,
6,West,Maryland,Terrapins,
7,West,St. Mary's,Gaels,
8,West,Northwestern,Wildcats,
9,West,Vanderbilt,Commodores,
10,West,VCU,Rams,
11,West,Xavier,Musketeers,
12,West,Princeton,Tigers,
13,West,Bucknell,Bison,
14,West,Florida Gulf Coast,Eagles,
15,West,North Dakota,Fighting Hawks,
16,West,South Dakota St.,Jackrabbits,
1,Midwest,Kansas,Jayhawks,
2,Midwest,Louisville,Cardinals,
3,Midwest,Oregon,Ducks,
4,Midwest,Purdue,Boilermakers,
5,Midwest,Iowa St.,Cyclones,
6,Midwest,Creighton,Bluejays,
7,Midwest,Michigan,Wolverines,
8,Midwest,Miami,Hurricanes,
9,Midwest,Michigan St.,Spartans,
10,Midwest,Oklahoma St.,Cowboys,
11,Midwest,Rhode Island,Rams,
12,Midwest,Nevada,Wolfpack,
13,Midwest,Vermont,Catamounts,
14,Midwest,Iona,Gaels,
15,Midwest,Jacksonville St.,Gamecocks,
16,Midwest,NC Central/UC Davis,Eagles/Aggies,TRUE
1,South,North Carolina,Tar Heels,
2,South,Kentucky,Wildcats,
3,South,UCLA,Bruins,
4,South,Butler,Bulldogs,
5,South,Minnesota,Golden Gophers,
6,South,Cincinnati,Bearcats,
7,South,Dayton,Fliers,
8,South,Arkansas,Razorbacks,
9,South,Seton Hall,Pirates,
10,South,Wichita St.,Shockers,
11,South,Kansas St./Wake Forest,Wildcats/Demon Deacons,TRUE
12,South,Middle Tennessee,Blue Raiders,
13,South,Winthrop,Eagles,
14,South,Kent St.,Golden Flashes,
15,South,Northern Kentucky,Norse,
16,South,Texas Southern,Tigers,
