seed,region,name,mascot,slug,play_in_game
1,East,UConn,Huskies,UCONN,
2,East,Iowa State,Cyclones,IOWAST,
3,East,Illinois,Fighting Illini,ILL,
4,East,Auburn,Tigers,AUBURN,
5,East,San Diego State,Aztecs,SDGST,
6,East,BYU,Cougars,BYU,
7,East,Washington State,Cougars,WASHST,
8,East,Florida Atlantic,Owls,FAU,
9,East,Northwestern,Wildcats,NWEST,
10,East,Drake,Bulldogs,DRAKE,
11,East,Duquesne,Dukes,DUQ,
12,East,UAB,Blazers,UAB,
13,East,Yale,Bulldogs,YALE,
14,East,Morehead State,Eagles,MOREHD,
15,East,South Dakota State,Jackrabbits,SDAKST,
16,East,Stetson,Hatters,STETSON,
1,West,North Carolina,Tar Heels,UNC,
2,West,Arizona,Wildcats,ARIZ,
3,West,Baylor,Bears,BAYLOR,
4,West,Alabama,Crimson Tide,BAMA,
5,West,Saint Mary's,Gaels,MARYCA,
6,West,Clemson,Tigers,CLEM,
7,West,Dayton,Flyers,DAYTON,
8,West,Mississippi State,Bulldogs,MISSST,
9,West,Michigan State,Spartans,MICHST,
10,West,Nevada,Wolfpack,NEVADA,
11,West,New Mexico,Lobos,NMEX,
12,West,Grand Canyon,Antelopes,GC,
13,West,Charleston,Cougars,CHARLS,
14,West,Colgate,Raiders,COLG,
15,West,Long Beach State,Beach,LNGBCH,
16,West,Howard/Wagner,Bison/Seahawks,HOW/WAGNER,TRUE
1,South,Houston,Cougars,HOU,
2,South,Marquette,Golden Eagles,MARQET,
3,South,Kentucky,Wildcats,UK,
4,South,Duke,Blue Devils,DUKE,
5,South,Wisconsin,Badgers,WISC,
6,South,Texas Tech,Red Raiders,TXTECH,
7,South,Florida,Gators,FLA,
8,South,Nebraska,Cornhuskers,NEB,
9,South,Texas A&M,Aggies,TEXAM,
10,South,Colorado/Boise State,Buffaloes/Broncos,COLO/BOISE,TRUE
11,South,North Carolina State,Wolfpack,NCST,
12,South,James Madison,Dukes,JMAD,
13,South,Vermont,Catamounts,UVM,
14,South,Oakland,Golden Grizzlies,OAK,
15,South,Western Kentucky,Hilltoppers,WKY,
16,South,Longwood,Lancers,LONGWD,
1,Midwest,Purdue,Boilermakers,PURDUE,
2,Midwest,Tennessee,Volunteers,TENN,
3,Midwest,Creighton,Bluejays,CREIGH,
4,Midwest,Kansas,Jayhawks,KANSAS,
5,Midwest,Gonzaga,Bulldogs,GONZAG,
6,Midwest,South Carolina,Gamecocks,SC,
7,Midwest,Texas,Longhorns,TEXAS,
8,Midwest,Utah State,Aggies,UTAHST,
9,Midwest,TCU,Horned Frogs,TCU,
10,Midwest,Colorado State/Virginia,Rams/Cavaliers,COLOST/UVA,TRUE
11,Midwest,Oregon,Ducks,OREG,
12,Midwest,McNeese,Cowboys,MCNSE,
13,Midwest,Samford,Bulldogs,SAMFORD,
14,Midwest,Akron,Zips,AKRON,
15,Midwest,Saint Peter's,Peacocks,STPETE,
16,Midwest,Grambling State/Montana State,Tigers/Bobcats,MONST/GRAM,TRUE
