seed,region,name,mascot,slug,play_in_game
1,South,Auburn,Tigers,AUBURN,
2,South,Michigan State,Spartans,MICHST,
3,South,Iowa State,Cyclones,IOWAST,
4,South,Texas A&M,Aggies,TEXAM,
5,South,Michigan,Wolverines,MICH,
6,South,Ole Miss,Rebels,MISS,
7,South,Marquette,Golden Eagles,MARQET,
8,South,Louisville,Cardinals,LVILLE,
9,South,Creighton,Bluejays,CREIGH,
10,South,New Mexico,Lobos,NMEX,
11,South,San Diego St/North Carolina,Aztecs/Tar Heels,SDGST/UNC,TRUE
12,South,UC San Diego,Tritons,CALSD,
13,South,Yale,Bulldogs,YALE,
14,South,Lipscomb,Bisons,LPSCMB,
15,South,Bryant,Bulldogs,BRYANT,
16,South,Alabama St/Saint Francis (PA),Hornets/Red Flash,ALST/SFTRPA,TRUE
1,West,Florida,Gators,FLA,
2,West,Saint John's,Red Storm,STJOHN,
3,West,Texas Tech,Red Raiders,TXTECH,
4,West,Maryland,Terrapins,MD,
5,West,Memphis,Tigers,MEMP,
6,West,Missouri,Tigers,MIZZOU,
7,West,Kansas,Jayhawks,KANSAS,
8,West,UConn,Huskies,UCONN,
9,West,Oklahoma,Sooners,OKLA,
10,West,Arkansas,Razorbacks,ARK,
11,West,Drake,Bulldogs,DRAKE,
12,West,Colorado State,Rams,COLOST,
13,West,Grand Canyon,Antelopes,GC,
14,West,UNC Wilmington,Seahawks,NCWILM,
15,West,Omaha,Mavericks,OMA,
16,West,Norfolk St,Spartans,NORFLK,
1,East,Duke,Blue Devils,DUKE,
2,East,Alabama,Crimson Tide,BAMA,
3,East,Wisconsin,Badgers,WISC,
4,East,Arizona,Wildcats,ARIZ,
5,East,Oregon,Ducks,OREG,
6,East,BYU,Cougars,BYU,
7,East,Saint Mary's,Gaels,MARYCA,
8,East,Mississippi State,Bulldogs,MISSST,
9,East,Baylor,Bears,BAYLOR,
10,East,Vanderbilt,Commodores,VANDY,
11,East,VCU,Rams,VCU,
12,East,Liberty,Flames,LIB,
13,East,Akron,Zips,AKRON,
14,East,Montana,Grizzlies,MNTNA,
15,East,Robert Morris,Colonials,ROBERT,
16,East,American/Mount Saint Mary's,Eagles/Mountaineers,AMER/MOUNT,TRUE
1,Midwest,Houston,Cougars,HOU,
2,Midwest,Tennessee,Volunteers,TENN,
3,Midwest,Kentucky,Wildcats,UK,
4,Midwest,Purdue,Boilermakers,PURDUE,
5,Midwest,Clemson,Tigers,CLEM,
6,Midwest,Illinois,Fighting Illini,ILL,
7,Midwest,UCLA,Bruins,UCLA,
8,Midwest,Gonzaga,Bulldogs,GONZAG,
9,Midwest,Georgia,Bulldogs,UGA,
10,Midwest,Utah St,Aggies,UTAHST,
11,Midwest,Texas/Xavier,Longhorns/Musketeers,TEXAS/XAVIER,TRUE
12,Midwest,McNeese,Cowboys,MCNSE,
13,Midwest,High Point,Panthers,HIGHPT,
14,Midwest,Troy,Trojans,TROY,
15,Midwest,Wofford,Terriers,WOFF,
16,Midwest,SIU Edwardsville,Cougars,SIUE,
